id,lesson,hiragana,kanji,vietnamese,category,icon,example_jp,example_vi,audio_url,example_jp_reading,display
l13_022,13,どこか,,"Đâu đó, chỗ nào đó",question,📍,どこかへ行きたいです。,Tôi muốn đi đâu đó.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=どこか&kana=どこか,どこかへ行きたい（いきたい）です。,どこか
l13_023,13,のどがかわきました,,Tôi khát.,conversation,🥤,のどがかわきました。,Tôi khát.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=のどがかわきました&kana=のどがかわきました,のどがかわきました。,のどがかわきました
l13_024,13,おなかがすきました,,Tôi đói rồi.,conversation,🍙,おなかがすきました。,Tôi đói rồi.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=おなかがすきました&kana=おなかがすきました,おなかがすきました。,おなかがすきました
l13_025,13,そうしましょう,,"Nhất trí, thống nhất như thế đi.",conversation,🤝,はい、そうしましょう。,"Vâng, thống nhất vậy đi.",https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=そうしましょう&kana=そうしましょう,はい、そうしましょう。,そうしましょう
l13_026,13,ご注文は？,ご注文は？,Anh/chị dùng món gì ạ?,restaurant,🧾,ご注文は？,Anh/chị dùng món gì ạ?,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ご注文は&kana=ご注文は,ご注文（ちゅうもん）は？,ご注文は？
l13_027,13,定食,定食,"Cơm suất, cơm phần",restaurant,🍱,定食をお願いします。,Cho tôi cơm phần.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=定食&kana=定食,定食をお願いします（おねがいします）。,定食
l13_028,13,牛どん,牛どん,Món cơm thịt bò,restaurant,🍚,牛どんをお願いします。,Cho tôi cơm thịt bò.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=牛どん&kana=牛どん,牛（ぎゅう）どんをお願いします（おねがいします）。,牛どん
l13_029,13,[少々]お待ちください,[少々]お待ちください,Xin vui lòng đợi một chút.,restaurant,⏳,少々お待ちください。,Xin vui lòng đợi một chút.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=少々お待ちください&kana=少々お待ちください,少々（しょうしょう）お待ち（まち）ください。,[少々]お待ちください
l13_030,13,～でございます,,Cách nói lịch sự của です,restaurant,🙇,こちらは牛どんでございます。,Đây là cơm thịt bò ạ.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=でございます&kana=でございます,こちらは牛（ぎゅう）どんでございます。,～でございます
l13_031,13,べつべつに,別々に,"Riêng lẻ, tách biệt",restaurant,🧾,別々にお願いします。,Tính riêng giúp tôi.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=別々に&kana=べつべつに,別々（べつべつ）に（べつべつに）お願いします（おねがいします）。,別々に（べつべつに）
l13_032,13,アキックス,,Tên công ty giả tưởng,other,🏢,アキックスへ行きます。,Tôi đi đến Akikkusu.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=アキックス&kana=アキックス,アキックスへ行きます。,アキックス
l13_033,13,おはようテレビ,,Tên chương trình TV giả tưởng,other,📺,おはようテレビを見ます。,Tôi xem Ohayou TV.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=おはようテレビ&kana=おはようテレビ,おはようテレビを見ます。,おはようテレビ
