id,lesson,hiragana,kanji,vietnamese,category,icon,example_jp,example_vi,audio_url,example_jp_reading,display
l10_017,10,れいぞうこ,冷蔵庫,Tủ lạnh,objects,🧊,冷蔵庫があります。,Có tủ lạnh.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=冷蔵庫&kana=れいぞうこ,冷蔵庫（れいぞうこ）があります。,冷蔵庫（れいぞうこ）
l10_018,10,テーブル,,Bàn,objects,🪑,テーブルがあります。,Có cái bàn.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=テーブル&kana=テーブル,テーブルがあります。,テーブル
l10_019,10,ベッド,,Giường,objects,🛏️,ベッドがあります。,Có cái giường.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ベッド&kana=ベッド,ベッドがあります。,ベッド
l10_020,10,たな,棚,Giá kệ,objects,🗄️,棚があります。,Có kệ sách.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=棚&kana=たな,棚（たな）があります。,棚（たな）
l10_021,10,ドア,,Cửa,objects,🚪,ドアがあります。,Có cái cửa.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ドア&kana=ドア,ドアがあります。,ドア
l10_022,10,まど,窓,Cửa sổ,objects,🪟,窓があります。,Có cửa sổ.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=窓&kana=まど,窓（まど）があります。,窓（まど）
l10_023,10,ポスト,,Hộp thư,objects,📮,ポストがあります。,Có hộp thư.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ポスト&kana=ポスト,ポストがあります。,ポスト
l10_024,10,ビル,,Tòa nhà,places,🏢,ビルがあります。,Có tòa nhà.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ビル&kana=ビル,ビルがあります。,ビル
l10_025,10,ATM,,Máy ATM,places,🏧,ATMがあります。,Có máy ATM.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ATM&kana=ATM,ATMがあります。,ATM
l10_026,10,コンビニ,,Cửa hàng tiện lợi,places,🏪,コンビニがあります。,Có combini.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=コンビニ&kana=コンビニ,コンビニがあります。,コンビニ
l10_027,10,こうえん,公園,Công viên,places,🏞️,公園があります。,Có công viên.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=公園&kana=こうえん,公園（こうえん）があります。,公園（こうえん）
l10_028,10,きっさてん,喫茶店,Quán cafe,places,☕,喫茶店があります。,Có quán cafe.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=喫茶店&kana=きっさてん,喫茶店（きっさてん）があります。,喫茶店（きっさてん）
l10_029,10,～や,～屋,"Hiệu ~, cửa hàng ~",places,🏬,パン屋があります。,Có tiệm bánh.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=屋&kana=や,パン屋があります。,～屋（～や）
l10_030,10,のりば,乗り場,"Bến xe, điểm lên xuống xe",places,🚌,バスの乗り場はどこですか。,Bến xe buýt ở đâu?,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=乗り場&kana=のりば,バスの乗り場（のりば）はどこですか。,乗り場（のりば）
l10_031,10,けん,県,Tỉnh,places,🗾,山梨県にいます。,Tôi ở tỉnh Yamanashi.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=県&kana=けん,山梨県（けん）にいます。,県（けん）
l10_032,10,うえ,上,Trên,position,⬆️,箱の上にあります。,Ở trên hộp.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=上&kana=うえ,箱（はこ）の上（うえ）にあります。,上（うえ）
l10_033,10,した,下,Dưới,position,⬇️,箱の下にあります。,Ở dưới hộp.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=下&kana=した,箱（はこ）の下（した）にあります。,下（した）
l10_034,10,まえ,前,Trước,position,↗️,駅の前にあります。,Ở trước nhà ga.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=前&kana=まえ,駅（えき）の前（まえ）にあります。,前（まえ）
l10_035,10,うしろ,後ろ,Sau,position,↙️,家の後ろにあります。,Ở sau nhà.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=後ろ&kana=うしろ,家の後ろ（うしろ）にあります。,後ろ（うしろ）
l10_036,10,みぎ,右,Phải,position,➡️,右にあります。,Ở bên phải.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=右&kana=みぎ,右（みぎ）にあります。,右（みぎ）
l10_037,10,ひだり,左,Trái,position,⬅️,左にあります。,Ở bên trái.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=左&kana=ひだり,左（ひだり）にあります。,左（ひだり）
l10_038,10,なか,中,"Trong, giữa",position,📥,箱の中にあります。,Ở trong hộp.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=中&kana=なか,箱（はこ）の中（なか）にあります。,中（なか）
l10_039,10,そと,外,Ngoài,position,📤,箱の外にあります。,Ở ngoài hộp.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=外&kana=そと,箱（はこ）の外（そと）にあります。,外（そと）
l10_040,10,となり,隣,Bên cạnh,position,🏘️,家の隣にあります。,Ở bên cạnh nhà.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=隣&kana=となり,家の隣（となり）にあります。,隣（となり）
l10_041,10,ちかく,近く,Gần,position,📍,駅の近くにあります。,Ở gần nhà ga.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=近く&kana=ちかく,駅（えき）の近く（ちかく）にあります。,近く（ちかく）
l10_042,10,あいだ,間,Giữa,position,↔️,本屋と銀行の間にあります。,Ở giữa hiệu sách và ngân hàng.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=間&kana=あいだ,本屋と銀行の間（あいだ）にあります。,間（あいだ）
l10_043,10,～や～[など],,"Và ~, v.v.",grammar,📚,本やノートがあります。,"Có sách, vở, v.v.",https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=やなど&kana=やなど,本やノートがあります。,～や～[など]
l10_044,10,[どうも]すみません。,,Cám ơn / Xin lỗi,conversation,🙏,どうもすみません。,Cám ơn.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=どうもすみません。&kana=どうもすみません。,どうもすみません。,[どうも]すみません。
l10_045,10,ナンプラー,,Nước mắm Thái,food,🍶,ナンプラーがあります。,Có nước mắm Thái.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=ナンプラー&kana=ナンプラー,ナンプラーがあります。,ナンプラー
l10_046,10,コーナー,,Góc,places,📐,コーナーにあります。,Ở góc.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=コーナー&kana=コーナー,コーナーにあります。,コーナー
l10_047,10,いちばんした,一番下,"Thấp nhất, phía dưới cùng",position,⏬,一番下にあります。,Ở dưới cùng.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=一番下&kana=いちばんした,一番下（いちばんした）にあります。,一番下（いちばんした）
l10_048,10,とうきょうディズニーランド,東京ディズニーランド,Công viên Tokyo Disneyland,places,🏰,東京ディズニーランドへ行きます。,Đi Tokyo Disneyland.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=東京ディズニーランド&kana=とうきょうディズニーランド,東京ディズニーランド（とうきょうディズニーランド）へ行きます。,東京ディズニーランド（とうきょうディズニーランド）
l10_049,10,アジアストア,,Tên siêu thị giả tưởng,places,🛒,アジアストアにあります。,Ở Asia Store.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=アジアストア&kana=アジアストア,アジアストアにあります。,アジアストア
