id,lesson,jlpt,category,hiragana,kanji,romaji,vietnamese,english,example_jp,example_vi,emoji,image
L10-018,10,N5,object,テーブル,,teeburu,Bàn,table,テーブルがあります。,Có cái bàn.,🪑,../../assets/images/lesson10/L10-018.svg
L10-019,10,N5,object,ベッド,,beddo,Giường,bed,ベッドがあります。,Có cái giường.,🛏️,../../assets/images/lesson10/L10-019.svg
L10-020,10,N5,object,たな,棚,tana,Giá kệ,shelf,たながあります。,Có cái kệ.,📚,../../assets/images/lesson10/L10-020.svg
L10-021,10,N5,object,ドア,,doa,Cửa,door,ドアがあります。,Có cái cửa.,🚪,../../assets/images/lesson10/L10-021.svg
L10-022,10,N5,object,まど,窓,mado,Cửa sổ,window,まどがあります。,Có cửa sổ.,🪟,../../assets/images/lesson10/L10-022.svg
L10-023,10,N5,object,ポスト,,posuto,"Hộp thư, hòm thư",postbox/mailbox,ポストがあります。,Có hòm thư.,📮,../../assets/images/lesson10/L10-023.svg
L10-024,10,N5,object,ビル,,biru,Tòa nhà,building,ビルがあります。,Có tòa nhà.,🏢,../../assets/images/lesson10/L10-024.svg
L10-025,10,N5,place,ATM,,ATM,Máy rút tiền tự động,ATM,ATMがあります。,Có máy ATM.,🏧,../../assets/images/lesson10/L10-025.svg
L10-026,10,N5,place,コンビニ,,konbini,Cửa hàng tiện lợi,convenience store,コンビニがあります。,Có cửa hàng tiện lợi.,🏪,../../assets/images/lesson10/L10-026.svg
L10-027,10,N5,place,こうえん,公園,kouen,Công viên,park,こうえんがあります。,Có công viên.,🏞️,../../assets/images/lesson10/L10-027.svg
L10-028,10,N5,place,きっさてん,喫茶店,kissaten,"Quán giải khát, quán cafe",coffee shop,きっさてんがあります。,Có quán cafe.,☕,../../assets/images/lesson10/L10-028.svg
L10-029,10,N5,place,〜や,〜屋,ya,"Hiệu ~, cửa hàng ~",shop/store,パンやがあります。,Có tiệm bánh mì.,🏬,../../assets/images/lesson10/L10-029.svg
L10-030,10,N5,place,のりば,乗り場,noriba,"Bến xe, điểm lên xuống xe",bus stop/platform,バスのりばがあります。,Có bến xe buýt.,🚏,../../assets/images/lesson10/L10-030.svg
L10-031,10,N5,place,けん,県,ken,Tỉnh,prefecture,やまなしけんです。,Là tỉnh Yamanashi.,🗾,../../assets/images/lesson10/L10-031.svg
L10-032,10,N5,position,うえ,上,ue,Trên,on/above,はこのうえにあります。,Ở trên cái hộp.,⬆️,../../assets/images/lesson10/L10-032.svg
L10-033,10,N5,position,した,下,shita,Dưới,under/below,ベッドのしたにあります。,Ở dưới giường.,⬇️,../../assets/images/lesson10/L10-033.svg
L10-034,10,N5,position,まえ,前,mae,Trước,front/before,えきのまえにあります。,Ở trước nhà ga.,↗️,../../assets/images/lesson10/L10-034.svg
L10-035,10,N5,position,うしろ,後ろ,ushiro,Sau,behind,ビルのうしろにあります。,Ở sau tòa nhà.,↩️,../../assets/images/lesson10/L10-035.svg
L10-036,10,N5,position,みぎ,右,migi,Phải,right,みぎにあります。,Ở bên phải.,➡️,../../assets/images/lesson10/L10-036.svg
L10-037,10,N5,position,ひだり,左,hidari,Trái,left,ひだりにあります。,Ở bên trái.,⬅️,../../assets/images/lesson10/L10-037.svg
L10-038,10,N5,position,なか,中,naka,"Trong, giữa",inside/middle,はこのなかにあります。,Ở trong cái hộp.,📥,../../assets/images/lesson10/L10-038.svg
L10-039,10,N5,position,そと,外,soto,Ngoài,outside,はこのそとにあります。,Ở ngoài cái hộp.,📤,../../assets/images/lesson10/L10-039.svg
L10-040,10,N5,position,となり,隣,tonari,Bên cạnh,next to,コンビニのとなりにあります。,Ở bên cạnh cửa hàng tiện lợi.,🏘️,../../assets/images/lesson10/L10-040.svg
L10-041,10,N5,position,ちかく,近く,chikaku,Gần,near,えきのちかくにあります。,Ở gần nhà ga.,📍,../../assets/images/lesson10/L10-041.svg
L10-042,10,N5,position,あいだ,間,aida,Giữa,between,ビルとコンビニのあいだにあります。,Ở giữa tòa nhà và cửa hàng tiện lợi.,↔️,../../assets/images/lesson10/L10-042.svg
L10-043,10,N5,connector,〜や〜[など],,ya nado,"Và ~, v.v.","and, etc.",つくえのうえにほんやペンなどがあります。,"Trên bàn có sách, bút, v.v.",📚,../../assets/images/lesson10/L10-043.svg
L10-044,10,N5,conversation,[どうも]すみません。,,doumo sumimasen,Cảm ơn / Xin lỗi,thank you / excuse me,どうもすみません。,Cảm ơn rất nhiều / Xin lỗi.,🙇,../../assets/images/lesson10/L10-044.svg
L10-045,10,N5,other,ナンプラー,,nanpuraa,Tên một đồ chấm của Thái Lan,fish sauce,ナンプラーがあります。,Có nước mắm Thái.,🍶,../../assets/images/lesson10/L10-045.svg
L10-046,10,N5,other,コーナー,,koonaa,Góc,corner,コーナーにあります。,Ở góc.,📐,../../assets/images/lesson10/L10-046.svg
L10-047,10,N5,position,いちばん した,一番下,ichiban shita,"Thấp nhất, phía dưới cùng",bottommost,いちばんしたにあります。,Ở phía dưới cùng.,🔽,../../assets/images/lesson10/L10-047.svg
L10-048,10,N5,place,とうきょうディズニーランド,東京ディズニーランド,toukyou dizuniirando,Công viên Tokyo Disneyland,Tokyo Disneyland,とうきょうディズニーランドがあります。,Có công viên Tokyo Disneyland.,🏰,../../assets/images/lesson10/L10-048.svg
L10-049,10,N5,place,アジアストア,,ajia sutoa,Tên một siêu thị (giả tưởng),Asia Store,アジアストアがあります。,Có Asia Store.,🛒,../../assets/images/lesson10/L10-049.svg
